TS,HR Raw,Smile,Raise Brow,Clench,Normalized HR,Pleasure,Arousal
2019.04.01.22.20.53,157,0.594486977,0.002457867,0.456458788,0.753846154,0.61280178,0.752996616
2019.04.01.22.20.54,157,0.610297232,0.282690841,0.092958768,0.630769231,0.59092687,0.637349269
2019.04.01.22.20.54,141,0.610297232,0.282690841,0.092958768,0.630769231,0.59092687,0.637349269
2019.04.01.22.20.55,141,0.556337996,0.117388781,0.488266942,0.923076923,0.634617554,0.888554211
2019.04.01.22.20.55,179,0.556337996,0.117388781,0.488266942,0.923076923,0.634617554,0.888554211
2019.04.01.22.20.56,179,0.290973605,0.464248978,0.881446952,0.730769231,0.484404963,0.784913585
2019.04.01.22.20.56,154,0.290973605,0.464248978,0.881446952,0.730769231,0.484404963,0.784913585
2019.04.01.22.20.57,154,0.262704676,0.43606472,0.311060629,0.630769231,0.384759654,0.615883425
2019.04.01.22.20.57,141,0.262704676,0.43606472,0.311060629,0.630769231,0.384759654,0.615883425
2019.04.01.22.20.58,141,0.281386895,0.962622849,0.067527579,0.753846154,0.4507551,0.728053416
2019.04.01.22.20.58,157,0.281386895,0.962622849,0.067527579,0.753846154,0.4507551,0.728053416
2019.04.01.22.20.59,157,0.301495812,0.826808667,0.415579176,1.007692308,0.536824314,0.961086136
2019.04.01.22.20.59,190,0.301495812,0.826808667,0.415579176,1.007692308,0.536824314,0.961086136
2019.04.01.22.21.00,190,0.711632573,0.04333774,0.81364776,0.723076923,0.728456736,0.811015145
2019.04.01.22.21.00,153,0.711632573,0.04333774,0.81364776,0.723076923,0.728456736,0.811015145
2019.04.01.22.21.01,153,0.82922016,0.773902859,0.455938654,0.876923077,0.878822879,0.969317424
2019.04.01.22.21.01,173,0.82922016,0.773902859,0.455938654,0.876923077,0.878822879,0.969317424
2019.04.01.22.21.02,173,0.719578437,0.909548001,0.93582929,0.7,0.828242635,0.900244881
2019.04.01.22.21.02,150,0.719578437,0.909548001,0.93582929,0.7,0.828242635,0.900244881
2019.04.01.22.21.03,150,0.606358084,0.087432065,0.353605885,0.630769231,0.5947083,0.656132629
2019.04.01.22.21.03,141,0.606358084,0.087432065,0.353605885,0.630769231,0.5947083,0.656132629
