TS,HR Raw,Smile,Raise Brow,Clench,Normalized HR,Pleasure,Arousal
2019.04.01.18.44.55,77,0.910293672,0.749919563,0.450504005,0.138461538,0.859932191,0.384742727
2019.04.01.18.44.56,96,0.910293672,0.749919563,0.450504005,0.284615385,0.889162961,0.465127342
2019.04.01.18.44.56,96,0.951345368,0.262125247,0.722037684,0.284615385,0.847493652,0.4124037
2019.04.01.18.44.57,78,0.951345368,0.262125247,0.722037684,0.146153846,0.819801345,0.336249854
2019.04.01.18.44.57,78,0.430866342,0.953115197,0.946240325,0.146153846,0.61608428,0.456030338
2019.04.01.18.44.58,73,0.430866342,0.953115197,0.946240325,0.107692308,0.608391973,0.434876491
2019.04.01.18.44.58,73,0.027794991,0.326248213,0.79042649,0.107692308,0.185287247,0.245823884
2019.04.01.18.44.59,64,0.027794991,0.326248213,0.79042649,0.038461538,0.171441093,0.207746961
2019.04.01.18.44.59,64,0.957766511,0.213401638,0.079130356,0.038461538,0.728722229,0.171480378
2019.04.01.18.45.00,90,0.957766511,0.213401638,0.079130356,0.238461538,0.768722229,0.281480378
2019.04.01.18.45.00,90,0.234320502,0.526114948,0.506310111,0.238461538,0.36757066,0.335755403
2019.04.01.18.45.01,62,0.234320502,0.526114948,0.506310111,0.023076923,0.324493737,0.217293864
2019.04.01.18.45.01,62,0.272816251,0.154774466,0.887231218,0.023076923,0.315264775,0.204013509
2019.04.01.18.45.02,69,0.272816251,0.154774466,0.887231218,0.076923077,0.326034006,0.233628893
2019.04.01.18.45.02,69,0.035077715,0.991281905,0.575358483,0.076923077,0.295731245,0.330375617
2019.04.01.18.45.03,87,0.035077715,0.991281905,0.575358483,0.215384615,0.323423553,0.406529463
2019.04.01.18.45.03,87,0.740086263,0.834397702,0.332578,0.215384615,0.761274648,0.409236405
2019.04.01.18.45.04,73,0.740086263,0.834397702,0.332578,0.107692308,0.739736186,0.350005636
2019.04.01.18.45.04,73,0.821210236,0.861899254,0.732088734,0.107692308,0.841974351,0.423544954
2019.04.01.18.45.05,77,0.821210236,0.861899254,0.732088734,0.138461538,0.848128197,0.440468031
2019.04.01.18.45.05,77,0.249742757,0.457529635,0.728225455,0.138461538,0.36684071,0.301867867
2019.04.01.18.45.06,87,0.249742757,0.457529635,0.728225455,0.215384615,0.382225325,0.344175559
2019.04.01.18.45.06,87,0.507362469,0.055375848,0.613455939,0.215384615,0.470651415,0.272291346
2019.04.01.18.45.07,60,0.507362469,0.055375848,0.613455939,0.007692308,0.429112954,0.158060577
2019.04.01.18.45.07,60,0.535070998,0.792241292,0.632827983,0.007692308,0.597819217,0.311110325
2019.04.01.18.45.08,94,0.535070998,0.792241292,0.632827983,0.269230769,0.650126909,0.454956479
2019.04.01.18.45.08,94,0.996493376,0.084107054,0.162975506,0.269230769,0.784510478,0.288993997
2019.04.01.18.45.09,90,0.996493376,0.084107054,0.162975506,0.238461538,0.778356632,0.27207092
2019.04.01.18.45.09,90,0.322465885,0.272864945,0.461763584,0.238461538,0.374167775,0.287237961
2019.04.01.18.45.10,79,0.322465885,0.272864945,0.461763584,0.153846154,0.357244698,0.2406995
2019.04.01.18.45.10,79,0.030238433,0.614779653,0.452980285,0.153846154,0.220190093,0.278542201
2019.04.01.18.45.11,89,0.030238433,0.614779653,0.452980285,0.230769231,0.235574708,0.320849893
2019.04.01.18.45.11,89,0.174265747,0.318919108,0.6432993,0.230769231,0.296253621,0.304628368
2019.04.01.18.45.12,95,0.174265747,0.318919108,0.6432993,0.276923077,0.30548439,0.330012984
2019.04.01.18.45.12,95,0.231579948,0.429589406,0.708358622,0.276923077,0.374244322,0.367637362
2019.04.01.18.45.13,65,0.231579948,0.429589406,0.708358622,0.046153846,0.328090476,0.240714285
2019.04.01.18.45.13,65,0.712143195,0.740145806,0.523732311,0.046153846,0.708133398,0.323187943
2019.04.01.18.45.14,65,0.712143195,0.740145806,0.523732311,0.046153846,0.708133398,0.323187943
2019.04.01.18.45.14,65,0.912281093,0.019885578,0.92621697,0.046153846,0.744426347,0.259522386
2019.04.01.18.45.15,77,0.912281093,0.019885578,0.92621697,0.138461538,0.762887885,0.310291616
2019.04.01.18.45.15,77,0.752354433,0.369358399,0.780721908,0.138461538,0.706284281,0.342369255
2019.04.01.18.45.16,69,0.752354433,0.369358399,0.780721908,0.076923077,0.693976589,0.308523102
2019.04.01.18.45.16,69,0.002191084,0.53328859,0.052709459,0.076923077,0.128847038,0.157090938
2019.04.01.18.45.17,99,0.002191084,0.53328859,0.052709459,0.307692308,0.175000884,0.284014015
2019.04.01.18.45.17,99,0.436122776,0.295245314,0.704050541,0.307692308,0.496278522,0.377499691
2019.04.01.18.45.18,69,0.436122776,0.295245314,0.704050541,0.076923077,0.450124676,0.250576614
2019.04.01.18.45.18,69,0.033132673,0.289396619,0.056084947,0.076923077,0.102065305,0.111913026
2019.04.01.18.45.19,92,0.033132673,0.289396619,0.056084947,0.253846154,0.137449921,0.209220718
2019.04.01.18.45.19,92,0.751612107,0.614258628,0.022760081,0.253846154,0.702025439,0.341042333
2019.04.01.18.45.20,88,0.751612107,0.614258628,0.022760081,0.223076923,0.695871593,0.324119256
2019.04.01.18.45.20,88,0.593747976,0.499135088,0.762041281,0.223076923,0.636270114,0.396200315
2019.04.01.18.45.21,65,0.593747976,0.499135088,0.762041281,0.046153846,0.600885498,0.298892623
2019.04.01.18.45.21,65,0.215984754,0.113834132,0.900038967,0.046153846,0.27319082,0.204755762
2019.04.01.18.45.22,81,0.215984754,0.113834132,0.900038967,0.169230769,0.297806205,0.27244807
2019.04.01.18.45.22,81,0.13173076,0.716320224,0.847258686,0.169230769,0.354047599,0.376602847
2019.04.01.18.45.23,67,0.13173076,0.716320224,0.847258686,0.061538462,0.332509137,0.317372077
2019.04.01.18.45.23,67,0.487667541,0.654146035,0.507008383,0.061538462,0.535205017,0.289493372
2019.04.01.18.45.24,74,0.487667541,0.654146035,0.507008383,0.115384615,0.545974247,0.319108757
2019.04.01.18.45.24,74,0.194657046,0.901301305,0.074884225,0.115384615,0.347085539,0.274420138
2019.04.01.18.45.25,84,0.194657046,0.901301305,0.074884225,0.192307692,0.362470154,0.31672783
2019.04.01.18.45.25,84,0.384473348,0.293133411,0.673843284,0.192307692,0.433603893,0.30391974
2019.04.01.18.45.26,79,0.384473348,0.293133411,0.673843284,0.153846154,0.425911585,0.282765894
2019.04.01.18.45.26,79,0.244477347,0.790717411,0.698224825,0.153846154,0.429869338,0.371940325
2019.04.01.18.45.27,80,0.244477347,0.790717411,0.698224825,0.161538462,0.4314078,0.376171095
2019.04.01.18.45.27,80,0.468922541,0.457037625,0.846454622,0.161538462,0.536606458,0.354114126
2019.04.01.18.45.28,61,0.468922541,0.457037625,0.846454622,0.015384615,0.507375689,0.273729511
2019.04.01.18.45.28,61,0.102225854,0.044740008,0.736341922,0.015384615,0.157217215,0.138083414
2019.04.01.18.45.29,82,0.102225854,0.044740008,0.736341922,0.176923077,0.189524907,0.226929568
2019.04.01.18.45.29,82,0.799050319,0.804052246,0.491327968,0.176923077,0.804663085,0.411722369
2019.04.01.18.45.30,95,0.799050319,0.804052246,0.491327968,0.276923077,0.824663085,0.466722369
2019.04.01.18.45.30,95,0.410391912,0.522241739,0.250197667,0.276923077,0.472127068,0.335324881
2019.04.01.18.45.31,95,0.199398169,0.964382212,0.749033862,0.276923077,0.462743162,0.477479031
2019.04.01.18.45.31,63,0.199398169,0.964382212,0.749033862,0.030769231,0.413512393,0.342094415
2019.04.01.18.45.32,63,0.360197175,0.587361137,0.075408045,0.030769231,0.383304901,0.181726229
2019.04.01.18.45.32,82,0.360197175,0.587361137,0.075408045,0.176923077,0.41253567,0.262110844
2019.04.01.18.45.33,82,0.272737367,0.698032096,0.515135685,0.176923077,0.41742076,0.341458201
2019.04.01.18.45.33,68,0.272737367,0.698032096,0.515135685,0.069230769,0.395882299,0.282227432
2019.04.01.18.45.34,68,0.765105744,0.900737238,0.814944838,0.069230769,0.811062106,0.416976671
2019.04.01.18.45.34,63,0.765105744,0.900737238,0.814944838,0.030769231,0.803369798,0.395822825
2019.04.01.18.45.35,63,0.072815518,0.894508149,0.029726937,0.030769231,0.238999032,0.207565299
2019.04.01.18.45.35,73,0.072815518,0.894508149,0.029726937,0.107692308,0.254383648,0.249872991
2019.04.01.18.45.36,73,0.399574254,0.280678934,0.993354807,0.107692308,0.456711707,0.304327202
2019.04.01.18.45.36,71,0.399574254,0.280678934,0.993354807,0.092307692,0.453634784,0.295865664
2019.04.01.18.45.37,71,0.336876584,0.727135782,0.634632338,0.092307692,0.463165537,0.325078896
2019.04.01.18.45.37,95,0.336876584,0.727135782,0.634632338,0.276923077,0.500088614,0.426617358
2019.04.01.18.45.38,95,0.553847207,0.628773079,0.980869889,0.276923077,0.666919265,0.480577512
2019.04.01.18.45.38,75,0.553847207,0.628773079,0.980869889,0.123076923,0.636150034,0.395962128
2019.04.01.18.45.39,75,0.846596119,0.190479156,0.144717413,0.123076923,0.66980024,0.212155363
2019.04.01.18.45.39,72,0.846596119,0.190479156,0.144717413,0.1,0.665184856,0.199463055
2019.04.01.18.45.40,72,0.54364183,0.425417159,0.755887646,0.1,0.561221477,0.307830762
2019.04.01.18.45.40,72,0.54364183,0.425417159,0.755887646,0.1,0.561221477,0.307830762
2019.04.01.18.45.41,72,0.057565697,0.012409982,0.525392526,0.1,0.115317237,0.142047445
2019.04.01.18.45.41,89,0.057565697,0.012409982,0.525392526,0.230769231,0.141471083,0.213970522
2019.04.01.18.45.42,89,0.089499586,0.761495425,0.003049248,0.230769231,0.261407566,0.288629508
2019.04.01.18.45.42,77,0.089499586,0.761495425,0.003049248,0.138461538,0.242946028,0.237860277
2019.04.01.18.45.43,77,0.229955046,0.023779534,0.824771251,0.138461538,0.275893872,0.227620945
2019.04.01.18.45.43,72,0.229955046,0.023779534,0.824771251,0.1,0.268201564,0.206467099
2019.04.01.18.45.44,72,0.738561787,0.415944109,0.905054399,0.1,0.710687513,0.34780316
2019.04.01.18.45.44,80,0.738561787,0.415944109,0.905054399,0.161538462,0.722995205,0.381649314
2019.04.01.18.45.45,80,0.645409494,0.63575053,0.454022805,0.161538462,0.656646725,0.34864063
2019.04.01.18.45.45,64,0.645409494,0.63575053,0.454022805,0.038461538,0.63203134,0.280948322
2019.04.01.18.45.46,64,0.912004944,0.232885938,0.497292479,0.038461538,0.742402204,0.2335254
2019.04.01.18.45.46,100,0.912004944,0.232885938,0.497292479,0.315384615,0.797786819,0.385833092
